"Country or Area","Year","Sex","Coverage","Source","SourceID","Type","Value","Value Footnotes"
"Afghanistan","2005","Total men and women","Total coverage","Labour force survey","# 0","Unemployed","363.8","1"
"Afghanistan","2005","Men","Total coverage","Labour force survey","# 0","Unemployed","172.7","1"
"Afghanistan","2005","Women","Total coverage","Labour force survey","# 0","Unemployed","191.1","1"
"Afghanistan","2005","Rates, total","Total coverage","Labour force survey","# 0","Unemployed","8.5","1"
"Afghanistan","2005","Rates, men","Total coverage","Labour force survey","# 0","Unemployed","7.6","1"
"Afghanistan","2005","Rates, women","Total coverage","Labour force survey","# 0","Unemployed","9.5","1"
"Albania","2006","Total men and women","Registered unemployment","Employment office records","# 0","Unemployed","149.794","1,2"
"Albania","2006","Men","Registered unemployment","Employment office records","# 0","Unemployed","77","1,2"
"Albania","2006","Women","Registered unemployment","Employment office records","# 0","Unemployed","73","1,2"
"Albania","2006","Rates, total","Registered unemployment","Employment office records","# 0","Unemployed","13.8","1,2"
"Albania","2006","Rates, men","Registered unemployment","Employment office records","# 0","Unemployed","11.8","1,2"
"Albania","2006","Rates, women","Registered unemployment","Employment office records","# 0","Unemployed","16.8","1,2"
"Albania","2005","Total men and women","Registered unemployment","Employment office records","# 0","Unemployed","153.25","1,2"
"Albania","2005","Men","Registered unemployment","Employment office records","# 0","Unemployed","79","1,2"
"Albania","2005","Women","Registered unemployment","Employment office records","# 0","Unemployed","74","1,2"
"Albania","2005","Rates, total","Registered unemployment","Employment office records","# 0","Unemployed","14.1","1,2"
"Albania","2005","Rates, men","Registered unemployment","Employment office records","# 0","Unemployed","12.1","1,2"
"Albania","2005","Rates, women","Registered unemployment","Employment office records","# 0","Unemployed","17.2","1,2"
"Albania","2004","Total men and women","Registered unemployment","Employment office records","# 0","Unemployed","157.008","1,2"
"Albania","2004","Men","Registered unemployment","Employment office records","# 0","Unemployed","82","1,2"
"Albania","2004","Women","Registered unemployment","Employment office records","# 0","Unemployed","75.008","1,2"
"Albania","2004","Rates, total","Registered unemployment","Employment office records","# 0","Unemployed","14.4","1,2"
"Albania","2004","Rates, men","Registered unemployment","Employment office records","# 0","Unemployed","12.4","1,2"
"Albania","2004","Rates, women","Registered unemployment","Employment office records","# 0","Unemployed","17.5","1,2"
"Albania","2003","Total men and women","Registered unemployment","Employment office records","# 0","Unemployed","163.03","1,2"
"Albania","2003","Men","Registered unemployment","Employment office records","# 0","Unemployed","86","1,2"
"Albania","2003","Women","Registered unemployment","Employment office records","# 0","Unemployed","77.03","1,2"
"Albania","2003","Rates, total","Registered unemployment","Employment office records","# 0","Unemployed","15","1,2"
"Albania","2003","Rates, men","Registered unemployment","Employment office records","# 0","Unemployed","12.9","1,2"
"Albania","2003","Rates, women","Registered unemployment","Employment office records","# 0","Unemployed","18.2","1,2"
"Albania","2002","Total men and women","Registered unemployment","Employment office records","# 0","Unemployed","172.385","1,2"
"Albania","2002","Men","Registered unemployment","Employment office records","# 0","Unemployed","91","1,2"
"Albania","2002","Women","Registered unemployment","Employment office records","# 0","Unemployed","81.385","1,2"
"Albania","2002","Rates, total","Registered unemployment","Employment office records","# 0","Unemployed","15.8","1,2"
"Albania","2002","Rates, men","Registered unemployment","Employment office records","# 0","Unemployed","13.6","1,2"
"Albania","2002","Rates, women","Registered unemployment","Employment office records","# 0","Unemployed","19.1","1,2"
"Albania","2001","Total men and women","Registered unemployment","Employment office records","# 0","Unemployed","180.513","1,2"
"Albania","2001","Total men and women","Total coverage","Population census","# 0","Unemployed","305.506","1,3"
"Albania","2001","Men","Total coverage","Population census","# 0","Unemployed","150.098","1,3"
"Albania","2001","Men","Registered unemployment","Employment office records","# 0","Unemployed","96","1,2"
"Albania","2001","Women","Registered unemployment","Employment office records","# 0","Unemployed","85","1,2"
"Albania","2001","Women","Total coverage","Population census","# 0","Unemployed","155.408","1,3"
"Albania","2001","Rates, total","Registered unemployment","Employment office records","# 0","Unemployed","16.4","1,2"
"Albania","2001","Rates, men","Registered unemployment","Employment office records","# 0","Unemployed","14.2","1,2"
"Albania","2001","Rates, women","Registered unemployment","Employment office records","# 0","Unemployed","19.9","1,2"
"Albania","2000","Total men and women","Registered unemployment","Employment office records","# 0","Unemployed","215.085","1,2"
"Albania","2000","Men","Registered unemployment","Employment office records","# 0","Unemployed","113","1,2"
"Albania","2000","Women","Registered unemployment","Employment office records","# 0","Unemployed","102.085","1,2"
"Albania","2000","Rates, total","Registered unemployment","Employment office records","# 0","Unemployed","16.8","1,2"
"Albania","2000","Rates, men","Registered unemployment","Employment office records","# 0","Unemployed","14.9","1,2"
"Albania","2000","Rates, women","Registered unemployment","Employment office records","# 0","Unemployed","19.3","1,2"
"Albania","1999","Total men and women","Registered unemployment","Employment office records","# 0","Unemployed","239.794","1,2"
"Albania","1999","Men","Registered unemployment","Employment office records","# 0","Unemployed","130","1,2"
"Albania","1999","Women","Registered unemployment","Employment office records","# 0","Unemployed","110","1,2"
"Albania","1999","Rates, total","Registered unemployment","Employment office records","# 0","Unemployed","18.4","1,2"
"Albania","1999","Rates, men","Registered unemployment","Employment office records","# 0","Unemployed","16.4","1,2"
"Albania","1999","Rates, women","Registered unemployment","Employment office records","# 0","Unemployed","21.4","1,2"
"Albania","1998","Total men and women","Registered unemployment","Employment office records","# 0","Unemployed","235.037","1,2"
"Albania","1998","Men","Registered unemployment","Employment office records","# 0","Unemployed","127","1,2"
"Albania","1998","Women","Registered unemployment","Employment office records","# 0","Unemployed","108.037","1,2"
"Albania","1998","Rates, total","Registered unemployment","Employment office records","# 0","Unemployed","17.7","1,2"
"Albania","1998","Rates, men","Registered unemployment","Employment office records","# 0","Unemployed","15.8","1,2"
"Albania","1998","Rates, women","Registered unemployment","Employment office records","# 0","Unemployed","20.9","1,2"
"Albania","1997","Total men and women","Registered unemployment","Employment office records","# 0","Unemployed","193.526","1,2"
"Albania","1997","Men","Registered unemployment","Employment office records","# 0","Unemployed","110","1,2"
"Albania","1997","Women","Registered unemployment","Employment office records","# 0","Unemployed","84","1,2"
"Albania","1997","Rates, total","Registered unemployment","Employment office records","# 0","Unemployed","14.9","1,2"
"Albania","1997","Rates, men","Registered unemployment","Employment office records","# 0","Unemployed","13.8","1,2"
"Albania","1997","Rates, women","Registered unemployment","Employment office records","# 0","Unemployed","16.6","1,2"
