"Country or Area","Year","Unit","Value","Value Footnotes"
"Algeria","2015","Thousand units","0.14","1"
"Algeria","2014","Thousand units","0.193","1"
"Algeria","2013","Thousand units","0.467","1"
"Algeria","2012","Thousand units","0.76","1"
"Algeria","2011","Thousand units","0.686","1"
"Algeria","2010","Thousand units","0.5","1"
"Algeria","2009","Thousand units","0.285","1"
"Algeria","2008","Thousand units","0.109","1"
"Algeria","2007","Thousand units","0.094","1"
"Algeria","2006","Thousand units","0.822","1"
"Algeria","2005","Thousand units","0.503","1"
"Algeria","2004","Thousand units","0.275","1"
"Algeria","2003","Thousand units","0.19","1"
"Argentina","2016","Thousand units","472.776",""
"Argentina","2015","Thousand units","526.657",""
"Argentina","2014","Thousand units","596.842",""
"Argentina","2013","Thousand units","764.161",""
"Argentina","2012","Thousand units","743.463",""
"Argentina","2011","Thousand units","804.415",""
"Argentina","2010","Thousand units","695.626",""
"Argentina","2009","Thousand units","498.592",""
"Argentina","2008","Thousand units","557.076",""
"Argentina","2007","Thousand units","513.232",""
"Argentina","2006","Thousand units","408.874",""
"Argentina","2005","Thousand units","299.205",""
"Argentina","2004","Thousand units","244.343",""
"Argentina","2003","Thousand units","160.583",""
"Argentina","2002","Thousand units","153.118",""
"Argentina","2001","Thousand units","227.089",""
"Argentina","2000","Thousand units","324.651",""
"Argentina","1999","Thousand units","291.277",""
"Argentina","1998","Thousand units","435.003",""
"Argentina","1997","Thousand units","425.224",""
"Argentina","1996","Thousand units","269.439",""
"Argentina","1995","Thousand units","266.656",""
"Australia","2008","Thousand units","342.688","2"
"Australia","2007","Thousand units","334.863","2"
"Australia","2006","Thousand units","352.002","2"
"Australia","2005","Thousand units","398.819","2"
"Australia","2004","Thousand units","413.655","2"
"Australia","2003","Thousand units","358.286","2"
"Australia","2002","Thousand units","318.951","2"
"Australia","2001","Thousand units","340.099","2"
"Australia","2000","Thousand units","314.475","2"
"Australia","1999","Thousand units","340.446","2"
"Australia","1998","Thousand units","312.809","2"
"Australia","1997","Thousand units","304.405","2"
"Australia","1996","Thousand units","302.551","2"
"Australia","1995","Thousand units","300.969",""
"Azerbaijan","2016","Mil. USD","1.25335148301589",""
"Azerbaijan","2016","Thousand units","0.27",""
"Azerbaijan","2015","Mil. USD","4.97772799060748",""
"Azerbaijan","2015","Thousand units","0.725",""
"Azerbaijan","2014","Mil. USD","16.5742862697975",""
"Azerbaijan","2014","Thousand units","1.861",""
"Azerbaijan","2013","Mil. USD","4.84359598380493",""
"Azerbaijan","2013","Thousand units","0.463",""
"Azerbaijan","2012","Mil. USD","5.60049125472216",""
"Azerbaijan","2012","Thousand units","0.7",""
"Azerbaijan","2011","Mil. USD","4.17887414039932",""
"Azerbaijan","2011","Thousand units","0.558",""
"Azerbaijan","2010","Mil. USD","0.97178602019363",""
"Azerbaijan","2010","Thousand units","0.146",""
"Azerbaijan","2009","Mil. USD","0.199058618616128",""
"Azerbaijan","2009","Thousand units","0.018",""
"Azerbaijan","2008","Mil. USD","1.58224077597415",""
"Azerbaijan","2008","Thousand units","0.148",""
"Azerbaijan","2007","Mil. USD","3.35615906741281",""
"Azerbaijan","2007","Thousand units","0.407",""
"Azerbaijan","2006","Mil. USD","4.47705230875991",""
"Azerbaijan","2006","Thousand units","0.542",""
"Azerbaijan","2005","Mil. USD","0.951956853084499",""
"Azerbaijan","2005","Thousand units","0.271",""
"Azerbaijan","2004","Mil. USD","0.122113106247052",""
